,invoice_ID,Branch,City,Yangon,Naypyitaw,Mandalay,customer_type,member_1,Gender,Gender_Male1,product_line,fashion_accessories,food_bev,electronic_accessories,sports_travel,home_lifestyle,health_beauty,unit_price,Quantity,tax_5%,Total,Date,Time,Payment,Ewallet,Cash,credit_card,cogs,gross_margin_%,gross_income,Unsatisfied
10,351-62-0822,B,Mandalay,0,0,1,Member,1,Female,0,fashion_accessories,1,0,0,0,0,0,14.48,4,2.896,60.816,2/6/2019,18:07,Ewallet,1,0,0,57.92,4.761904762,2.896,1.0
11,529-56-3974,B,Mandalay,0,0,1,Member,1,Male,1,electronic_accessories,0,0,1,0,0,0,25.51,4,5.102,107.142,3/9/2019,17:03,Cash,0,1,0,102.04,4.761904762,5.102,1.0
12,365-64-0515,A,Yangon,1,0,0,Normal,0,Female,0,electronic_accessories,0,0,1,0,0,0,46.95,5,11.7375,246.4875,2/12/2019,10:25,Ewallet,1,0,0,234.75,4.761904762,11.7375,0.0
13,252-56-2699,A,Yangon,1,0,0,Normal,0,Male,1,food_bev,0,1,0,0,0,0,43.19,10,21.595,453.495,2/7/2019,16:48,Ewallet,1,0,0,431.9,4.761904762,21.595,0.0
14,829-34-3910,A,Yangon,1,0,0,Normal,0,Female,0,health_beauty,0,0,0,0,0,1,71.38,10,35.69,749.49,3/29/2019,19:21,Cash,0,1,0,713.8,4.761904762,35.69,1.0
15,299-46-1805,B,Mandalay,0,0,1,Member,1,Female,0,sports_travel,0,0,0,1,0,0,93.72,6,28.116,590.436,1/15/2019,16:19,Cash,0,1,0,562.32,4.761904762,28.116,1.0
16,656-95-9349,A,Yangon,1,0,0,Member,1,Female,0,health_beauty,0,0,0,0,0,1,68.93,7,24.1255,506.6355,3/11/2019,11:03,credit_card,0,0,1,482.51,4.761904762,24.1255,1.0
17,765-26-6951,A,Yangon,1,0,0,Normal,0,Male,1,sports_travel,0,0,0,1,0,0,72.61,6,21.783,457.443,1/1/2019,10:39,credit_card,0,0,1,435.66,4.761904762,21.783,1.0
18,329-62-1586,A,Yangon,1,0,0,Normal,0,Male,1,food_bev,0,1,0,0,0,0,54.67,3,8.2005,172.2105,1/21/2019,18:00,credit_card,0,0,1,164.01,4.761904762,8.2005,0.0
19,319-50-3348,B,Mandalay,0,0,1,Normal,0,Female,0,home_lifestyle,0,0,0,0,1,0,40.3,2,4.03,84.63,3/11/2019,15:30,Ewallet,1,0,0,80.6,4.761904762,4.03,1.0
20,300-71-4605,C,Naypyitaw,0,1,0,Member,1,Male,1,electronic_accessories,0,0,1,0,0,0,86.04,5,21.51,451.71,2/25/2019,11:24,Ewallet,1,0,0,430.2,4.761904762,21.51,1.0
21,371-85-5789,B,Mandalay,0,0,1,Normal,0,Male,1,health_beauty,0,0,0,0,0,1,87.98,3,13.197,277.137,3/5/2019,10:40,Ewallet,1,0,0,263.94,4.761904762,13.197,1.0
22,273-16-6619,B,Mandalay,0,0,1,Normal,0,Male,1,home_lifestyle,0,0,0,0,1,0,33.2,2,3.32,69.72,3/15/2019,12:20,credit_card,0,0,1,66.4,4.761904762,3.32,1.0
23,636-48-8204,A,Yangon,1,0,0,Normal,0,Male,1,electronic_accessories,0,0,1,0,0,0,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,1,0,0,172.8,4.761904762,8.64,0.0
24,549-59-1358,A,Yangon,1,0,0,Member,1,Male,1,sports_travel,0,0,0,1,0,0,88.63,3,13.2945,279.1845,3/2/2019,17:36,Ewallet,1,0,0,265.89,4.761904762,13.2945,1.0
25,227-03-5010,A,Yangon,1,0,0,Member,1,Female,0,home_lifestyle,0,0,0,0,1,0,52.59,8,21.036,441.756,3/22/2019,19:20,credit_card,0,0,1,420.72,4.761904762,21.036,0.0
26,649-29-6775,B,Mandalay,0,0,1,Normal,0,Male,1,fashion_accessories,1,0,0,0,0,0,33.52,1,1.676,35.196,2/8/2019,15:31,Cash,0,1,0,33.52,4.761904762,1.676,1.0
27,189-17-4241,A,Yangon,1,0,0,Normal,0,Female,0,fashion_accessories,1,0,0,0,0,0,87.67,2,8.767,184.107,3/10/2019,12:17,credit_card,0,0,1,175.34,4.761904762,8.767,0.0
28,145-94-9061,B,Mandalay,0,0,1,Normal,0,Female,0,food_bev,0,1,0,0,0,0,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,0,1,0,441.8,4.761904762,22.09,0.0
29,848-62-7243,A,Yangon,1,0,0,Normal,0,Male,1,health_beauty,0,0,0,0,0,1,24.89,9,11.2005,235.2105,3/15/2019,15:36,Cash,0,1,0,224.01,4.761904762,11.2005,0.0
30,871-79-8483,B,Mandalay,0,0,1,Normal,0,Male,1,fashion_accessories,1,0,0,0,0,0,94.13,5,23.5325,494.1825,2/25/2019,19:39,credit_card,0,0,1,470.65,4.761904762,23.5325,1.0
31,149-71-6266,B,Mandalay,0,0,1,Member,1,Male,1,sports_travel,0,0,0,1,0,0,78.07,9,35.1315,737.7615,1/28/2019,12:43,Cash,0,1,0,702.63,4.761904762,35.1315,1.0
32,640-49-2076,B,Mandalay,0,0,1,Normal,0,Male,1,sports_travel,0,0,0,1,0,0,83.78,8,33.512,703.752,1/10/2019,14:49,Cash,0,1,0,670.24,4.761904762,33.512,1.0
33,595-11-5460,A,Yangon,1,0,0,Normal,0,Male,1,health_beauty,0,0,0,0,0,1,96.58,2,9.658,202.818,3/15/2019,10:12,credit_card,0,0,1,193.16,4.761904762,9.658,1.0
34,183-56-6882,C,Naypyitaw,0,1,0,Member,1,Female,0,food_bev,0,1,0,0,0,0,99.42,4,19.884,417.564,2/6/2019,10:42,Ewallet,1,0,0,397.68,4.761904762,19.884,0.0
35,232-16-2483,C,Naypyitaw,0,1,0,Member,1,Female,0,sports_travel,0,0,0,1,0,0,68.12,1,3.406,71.526,1/7/2019,12:28,Ewallet,1,0,0,68.12,4.761904762,3.406,1.0
36,129-29-8530,A,Yangon,1,0,0,Member,1,Male,1,sports_travel,0,0,0,1,0,0,62.62,5,15.655,328.755,3/10/2019,19:15,Ewallet,1,0,0,313.1,4.761904762,15.655,0.0
37,272-65-1806,A,Yangon,1,0,0,Normal,0,Female,0,electronic_accessories,0,0,1,0,0,0,60.88,9,27.396,575.316,1/15/2019,17:17,Ewallet,1,0,0,547.92,4.761904762,27.396,1.0
38,333-73-7901,C,Naypyitaw,0,1,0,Normal,0,Female,0,health_beauty,0,0,0,0,0,1,54.92,8,21.968,461.328,3/23/2019,13:24,Ewallet,1,0,0,439.36,4.761904762,21.968,0.0
39,777-82-7220,B,Mandalay,0,0,1,Member,1,Male,1,home_lifestyle,0,0,0,0,1,0,30.12,8,12.048,253.008,3/3/2019,13:01,Cash,0,1,0,240.96,4.761904762,12.048,0.0
40,280-35-5823,B,Mandalay,0,0,1,Member,1,Female,0,home_lifestyle,0,0,0,0,1,0,86.72,1,4.336,91.056,1/17/2019,18:45,Ewallet,1,0,0,86.72,4.761904762,4.336,0.0
41,554-53-8700,C,Naypyitaw,0,1,0,Member,1,Male,1,home_lifestyle,0,0,0,0,1,0,56.11,2,5.611,117.831,2/2/2019,10:11,Cash,0,1,0,112.22,4.761904762,5.611,1.0
42,354-25-5821,B,Mandalay,0,0,1,Member,1,Female,0,sports_travel,0,0,0,1,0,0,69.12,6,20.736,435.456,2/8/2019,13:03,Cash,0,1,0,414.72,4.761904762,20.736,1.0
43,228-96-1411,C,Naypyitaw,0,1,0,Member,1,Female,0,food_bev,0,1,0,0,0,0,98.7,8,39.48,829.08,3/4/2019,20:39,Cash,0,1,0,789.6,4.761904762,39.48,0.0
44,617-15-4209,C,Naypyitaw,0,1,0,Member,1,Male,1,health_beauty,0,0,0,0,0,1,15.37,2,1.537,32.277,3/16/2019,19:47,Cash,0,1,0,30.74,4.761904762,1.537,0.0
45,132-32-9879,B,Mandalay,0,0,1,Member,1,Female,0,electronic_accessories,0,0,1,0,0,0,93.96,4,18.792,394.632,3/9/2019,18:00,Cash,0,1,0,375.84,4.761904762,18.792,0.0
46,370-41-7321,B,Mandalay,0,0,1,Member,1,Male,1,health_beauty,0,0,0,0,0,1,56.69,9,25.5105,535.7205,2/27/2019,17:24,credit_card,0,0,1,510.21,4.761904762,25.5105,0.0
47,727-46-3608,B,Mandalay,0,0,1,Member,1,Female,0,food_bev,0,1,0,0,0,0,20.01,9,9.0045,189.0945,2/6/2019,15:47,Ewallet,1,0,0,180.09,4.761904762,9.0045,1.0
48,669-54-1719,B,Mandalay,0,0,1,Member,1,Male,1,electronic_accessories,0,0,1,0,0,0,18.93,6,5.679,119.259,2/10/2019,12:45,credit_card,0,0,1,113.58,4.761904762,5.679,0.0
49,574-22-5561,C,Naypyitaw,0,1,0,Member,1,Female,0,fashion_accessories,1,0,0,0,0,0,82.63,10,41.315,867.615,3/19/2019,17:08,Ewallet,1,0,0,826.3,4.761904762,41.315,0.0
50,326-78-5178,C,Naypyitaw,0,1,0,Member,1,Male,1,food_bev,0,1,0,0,0,0,91.4,7,31.99,671.79,2/3/2019,10:19,Cash,0,1,0,639.8,4.761904762,31.99,0.0
51,162-48-8011,A,Yangon,1,0,0,Member,1,Female,0,food_bev,0,1,0,0,0,0,44.59,5,11.1475,234.0975,2/10/2019,15:10,Cash,0,1,0,222.95,4.761904762,11.1475,0.0
52,616-24-2851,B,Mandalay,0,0,1,Member,1,Female,0,fashion_accessories,1,0,0,0,0,0,17.87,4,3.574,75.054,3/22/2019,14:42,Ewallet,1,0,0,71.48,4.761904762,3.574,1.0
53,778-71-5554,C,Naypyitaw,0,1,0,Member,1,Male,1,fashion_accessories,1,0,0,0,0,0,15.43,1,0.7715,16.2015,1/25/2019,15:46,credit_card,0,0,1,15.43,4.761904762,0.7715,1.0
54,242-55-6721,B,Mandalay,0,0,1,Normal,0,Male,1,home_lifestyle,0,0,0,0,1,0,16.16,2,1.616,33.936,3/7/2019,11:49,Ewallet,1,0,0,32.32,4.761904762,1.616,1.0
55,399-46-5918,C,Naypyitaw,0,1,0,Normal,0,Female,0,electronic_accessories,0,0,1,0,0,0,85.98,8,34.392,722.232,2/28/2019,19:01,Cash,0,1,0,687.84,4.761904762,34.392,0.0
56,106-35-6779,A,Yangon,1,0,0,Member,1,Male,1,home_lifestyle,0,0,0,0,1,0,44.34,2,4.434,93.114,3/27/2019,11:26,Cash,0,1,0,88.68,4.761904762,4.434,1.0
57,635-40-6220,A,Yangon,1,0,0,Normal,0,Male,1,health_beauty,0,0,0,0,0,1,89.6,8,35.84,752.64,2/7/2019,11:28,Ewallet,1,0,0,716.8,4.761904762,35.84,1.0
58,817-48-8732,A,Yangon,1,0,0,Member,1,Female,0,home_lifestyle,0,0,0,0,1,0,72.35,10,36.175,759.675,1/20/2019,15:55,Cash,0,1,0,723.5,4.761904762,36.175,1.0
59,120-06-4233,C,Naypyitaw,0,1,0,Normal,0,Male,1,electronic_accessories,0,0,1,0,0,0,30.61,6,9.183,192.843,3/12/2019,20:36,Cash,0,1,0,183.66,4.761904762,9.183,0.0
60,285-68-5083,C,Naypyitaw,0,1,0,Member,1,Female,0,sports_travel,0,0,0,1,0,0,24.74,3,3.711,77.931,2/15/2019,17:47,credit_card,0,0,1,74.22,4.761904762,3.711,0.0
61,803-83-5989,C,Naypyitaw,0,1,0,Normal,0,Male,1,home_lifestyle,0,0,0,0,1,0,55.73,6,16.719,351.099,2/24/2019,10:55,Ewallet,1,0,0,334.38,4.761904762,16.719,0.0
62,347-34-2234,B,Mandalay,0,0,1,Member,1,Female,0,sports_travel,0,0,0,1,0,0,55.07,9,24.7815,520.4115,2/3/2019,13:40,Ewallet,1,0,0,495.63,4.761904762,24.7815,0.0
63,199-75-8169,A,Yangon,1,0,0,Member,1,Male,1,sports_travel,0,0,0,1,0,0,15.81,10,7.905,166.005,3/6/2019,12:27,credit_card,0,0,1,158.1,4.761904762,7.905,0.0
64,853-23-2453,B,Mandalay,0,0,1,Member,1,Male,1,health_beauty,0,0,0,0,0,1,75.74,4,15.148,318.108,2/14/2019,14:35,Cash,0,1,0,302.96,4.761904762,15.148,0.0
65,877-22-3308,A,Yangon,1,0,0,Member,1,Male,1,health_beauty,0,0,0,0,0,1,15.87,10,7.935,166.635,3/13/2019,16:40,Cash,0,1,0,158.7,4.761904762,7.935,1.0
66,838-78-4295,C,Naypyitaw,0,1,0,Normal,0,Female,0,health_beauty,0,0,0,0,0,1,33.47,2,3.347,70.287,2/10/2019,15:43,Ewallet,1,0,0,66.94,4.761904762,3.347,1.0
67,109-28-2512,B,Mandalay,0,0,1,Member,1,Female,0,fashion_accessories,1,0,0,0,0,0,97.61,6,29.283,614.943,1/7/2019,15:01,Ewallet,1,0,0,585.66,4.761904762,29.283,0.0
68,232-11-3025,A,Yangon,1,0,0,Normal,0,Male,1,sports_travel,0,0,0,1,0,0,78.77,10,39.385,827.085,1/24/2019,10:04,Cash,0,1,0,787.7,4.761904762,39.385,1.0
69,382-03-4532,A,Yangon,1,0,0,Member,1,Female,0,health_beauty,0,0,0,0,0,1,18.33,1,0.9165,19.2465,2/2/2019,18:50,Cash,0,1,0,18.33,4.761904762,0.9165,1.0
70,393-65-2792,C,Naypyitaw,0,1,0,Normal,0,Male,1,food_bev,0,1,0,0,0,0,89.48,10,44.74,939.54,1/6/2019,12:46,credit_card,0,0,1,894.8,4.761904762,44.74,0.0
71,796-12-2025,C,Naypyitaw,0,1,0,Normal,0,Male,1,fashion_accessories,1,0,0,0,0,0,62.12,10,31.06,652.26,2/11/2019,16:19,Cash,0,1,0,621.2,4.761904762,31.06,1.0
72,510-95-6347,B,Mandalay,0,0,1,Member,1,Female,0,food_bev,0,1,0,0,0,0,48.52,3,7.278,152.838,3/5/2019,18:17,Ewallet,1,0,0,145.56,4.761904762,7.278,1.0
73,841-35-6630,C,Naypyitaw,0,1,0,Normal,0,Female,0,electronic_accessories,0,0,1,0,0,0,75.91,6,22.773,478.233,3/9/2019,18:21,Cash,0,1,0,455.46,4.761904762,22.773,0.0
74,287-21-9091,A,Yangon,1,0,0,Normal,0,Male,1,home_lifestyle,0,0,0,0,1,0,74.67,9,33.6015,705.6315,1/22/2019,10:55,Ewallet,1,0,0,672.03,4.761904762,33.6015,0.0
75,732-94-0499,C,Naypyitaw,0,1,0,Normal,0,Female,0,electronic_accessories,0,0,1,0,0,0,41.65,10,20.825,437.325,1/13/2019,17:04,credit_card,0,0,1,416.5,4.761904762,20.825,1.0
76,263-10-3913,C,Naypyitaw,0,1,0,Member,1,Male,1,fashion_accessories,1,0,0,0,0,0,49.04,9,22.068,463.428,1/9/2019,14:20,credit_card,0,0,1,441.36,4.761904762,22.068,0.0
77,381-20-0914,A,Yangon,1,0,0,Member,1,Female,0,fashion_accessories,1,0,0,0,0,0,20.01,9,9.0045,189.0945,1/12/2019,15:48,credit_card,0,0,1,180.09,4.761904762,9.0045,1.0
78,829-49-1914,C,Naypyitaw,0,1,0,Member,1,Female,0,food_bev,0,1,0,0,0,0,78.31,10,39.155,822.255,3/5/2019,16:24,Ewallet,1,0,0,783.1,4.761904762,39.155,1.0
79,756-01-7507,C,Naypyitaw,0,1,0,Normal,0,Female,0,health_beauty,0,0,0,0,0,1,20.38,5,5.095,106.995,1/22/2019,18:56,Cash,0,1,0,101.9,4.761904762,5.095,1.0
80,870-72-4431,C,Naypyitaw,0,1,0,Normal,0,Female,0,health_beauty,0,0,0,0,0,1,99.19,6,29.757,624.897,1/21/2019,14:42,credit_card,0,0,1,595.14,4.761904762,29.757,1.0
81,847-38-7188,B,Mandalay,0,0,1,Normal,0,Female,0,food_bev,0,1,0,0,0,0,96.68,3,14.502,304.542,1/26/2019,19:56,Ewallet,1,0,0,290.04,4.761904762,14.502,1.0
82,480-63-2856,C,Naypyitaw,0,1,0,Normal,0,Male,1,food_bev,0,1,0,0,0,0,19.25,8,7.7,161.7,1/23/2019,18:37,Ewallet,1,0,0,154.0,4.761904762,7.7,1.0
83,787-56-0757,C,Naypyitaw,0,1,0,Member,1,Female,0,food_bev,0,1,0,0,0,0,80.36,4,16.072,337.512,2/23/2019,18:45,credit_card,0,0,1,321.44,4.761904762,16.072,0.0
84,360-39-5055,C,Naypyitaw,0,1,0,Member,1,Male,1,sports_travel,0,0,0,1,0,0,48.91,5,12.2275,256.7775,3/9/2019,10:17,Cash,0,1,0,244.55,4.761904762,12.2275,1.0
85,730-50-9884,C,Naypyitaw,0,1,0,Normal,0,Female,0,sports_travel,0,0,0,1,0,0,83.06,7,29.071,610.491,3/5/2019,14:31,Ewallet,1,0,0,581.42,4.761904762,29.071,1.0
86,362-58-8315,C,Naypyitaw,0,1,0,Normal,0,Male,1,fashion_accessories,1,0,0,0,0,0,76.52,5,19.13,401.73,3/25/2019,10:23,Cash,0,1,0,382.6,4.761904762,19.13,0.0
87,633-44-8566,A,Yangon,1,0,0,Member,1,Male,1,food_bev,0,1,0,0,0,0,49.38,7,17.283,362.943,3/27/2019,20:35,credit_card,0,0,1,345.66,4.761904762,17.283,0.0
88,504-35-8843,A,Yangon,1,0,0,Normal,0,Male,1,sports_travel,0,0,0,1,0,0,42.47,1,2.1235,44.5935,1/2/2019,16:57,Cash,0,1,0,42.47,4.761904762,2.1235,1.0
89,318-68-5053,B,Mandalay,0,0,1,Normal,0,Female,0,health_beauty,0,0,0,0,0,1,76.99,6,23.097,485.037,2/27/2019,17:55,Cash,0,1,0,461.94,4.761904762,23.097,1.0
90,565-80-5980,C,Naypyitaw,0,1,0,Member,1,Female,0,home_lifestyle,0,0,0,0,1,0,47.38,4,9.476,198.996,1/23/2019,10:25,Cash,0,1,0,189.52,4.761904762,9.476,0.0
91,225-32-0908,C,Naypyitaw,0,1,0,Normal,0,Female,0,sports_travel,0,0,0,1,0,0,44.86,10,22.43,471.03,1/26/2019,19:54,Ewallet,1,0,0,448.6,4.761904762,22.43,0.0
92,873-51-0671,A,Yangon,1,0,0,Member,1,Female,0,sports_travel,0,0,0,1,0,0,21.98,7,7.693,161.553,1/10/2019,16:42,Ewallet,1,0,0,153.86,4.761904762,7.693,1.0
93,152-08-9985,B,Mandalay,0,0,1,Member,1,Male,1,health_beauty,0,0,0,0,0,1,64.36,9,28.962,608.202,3/12/2019,12:09,credit_card,0,0,1,579.24,4.761904762,28.962,0.0
94,512-91-0811,C,Naypyitaw,0,1,0,Normal,0,Male,1,health_beauty,0,0,0,0,0,1,89.75,1,4.4875,94.2375,2/6/2019,20:05,credit_card,0,0,1,89.75,4.761904762,4.4875,1.0
95,594-34-4444,A,Yangon,1,0,0,Normal,0,Male,1,electronic_accessories,0,0,1,0,0,0,97.16,1,4.858,102.018,3/8/2019,20:38,Ewallet,1,0,0,97.16,4.761904762,4.858,0.0
96,766-85-7061,B,Mandalay,0,0,1,Normal,0,Male,1,health_beauty,0,0,0,0,0,1,87.87,10,43.935,922.635,3/29/2019,10:25,Ewallet,1,0,0,878.7,4.761904762,43.935,1.0
97,871-39-9221,C,Naypyitaw,0,1,0,Normal,0,Female,0,electronic_accessories,0,0,1,0,0,0,12.45,6,3.735,78.435,2/9/2019,13:11,Cash,0,1,0,74.7,4.761904762,3.735,1.0
98,865-92-6136,A,Yangon,1,0,0,Normal,0,Male,1,food_bev,0,1,0,0,0,0,52.75,3,7.9125,166.1625,3/23/2019,10:16,Ewallet,1,0,0,158.25,4.761904762,7.9125,0.0
99,733-01-9107,B,Mandalay,0,0,1,Normal,0,Male,1,home_lifestyle,0,0,0,0,1,0,82.7,6,24.81,521.01,3/5/2019,18:14,Cash,0,1,0,496.2,4.761904762,24.81,0.0
100,163-56-7055,C,Naypyitaw,0,1,0,Member,1,Male,1,fashion_accessories,1,0,0,0,0,0,48.71,1,2.4355,51.1455,3/26/2019,19:20,Cash,0,1,0,48.71,4.761904762,2.4355,1.0
101,189-98-2939,C,Naypyitaw,0,1,0,Normal,0,Male,1,fashion_accessories,1,0,0,0,0,0,78.55,9,35.3475,742.2975,3/1/2019,13:22,Cash,0,1,0,706.95,4.761904762,35.3475,0.0
102,551-21-3069,C,Naypyitaw,0,1,0,Normal,0,Female,0,electronic_accessories,0,0,1,0,0,0,23.07,9,10.3815,218.0115,2/1/2019,11:27,Cash,0,1,0,207.63,4.761904762,10.3815,1.0
103,212-62-1842,A,Yangon,1,0,0,Normal,0,Male,1,food_bev,0,1,0,0,0,0,58.26,6,17.478,367.038,3/28/2019,16:44,Cash,0,1,0,349.56,4.761904762,17.478,0.0
104,716-39-1409,B,Mandalay,0,0,1,Normal,0,Male,1,health_beauty,0,0,0,0,0,1,30.35,7,10.6225,223.0725,3/19/2019,18:19,Cash,0,1,0,212.45,4.761904762,10.6225,0.0
105,704-48-3927,A,Yangon,1,0,0,Member,1,Male,1,electronic_accessories,0,0,1,0,0,0,88.67,10,44.335,931.035,1/12/2019,14:50,Ewallet,1,0,0,886.7,4.761904762,44.335,0.0
106,628-34-3388,C,Naypyitaw,0,1,0,Normal,0,Male,1,fashion_accessories,1,0,0,0,0,0,27.38,6,8.214,172.494,1/5/2019,20:54,credit_card,0,0,1,164.28,4.761904762,8.214,0.0
107,630-74-5166,A,Yangon,1,0,0,Normal,0,Male,1,sports_travel,0,0,0,1,0,0,62.13,6,18.639,391.419,3/22/2019,20:19,Cash,0,1,0,372.78,4.761904762,18.639,0.0
108,588-01-7461,C,Naypyitaw,0,1,0,Normal,0,Female,0,food_bev,0,1,0,0,0,0,33.98,9,15.291,321.111,3/24/2019,10:43,Cash,0,1,0,305.82,4.761904762,15.291,1.0
109,861-77-0145,C,Naypyitaw,0,1,0,Member,1,Male,1,electronic_accessories,0,0,1,0,0,0,81.97,10,40.985,860.685,3/3/2019,14:30,Cash,0,1,0,819.7,4.761904762,40.985,0.0
110,479-26-8945,B,Mandalay,0,0,1,Member,1,Female,0,sports_travel,0,0,0,1,0,0,16.49,2,1.649,34.629,2/5/2019,11:32,Ewallet,1,0,0,32.98,4.761904762,1.649,1.0
111,210-67-5886,C,Naypyitaw,0,1,0,Member,1,Female,0,health_beauty,0,0,0,0,0,1,98.21,3,14.7315,309.3615,2/5/2019,10:41,credit_card,0,0,1,294.63,4.761904762,14.7315,0.0
112,227-78-1148,B,Mandalay,0,0,1,Normal,0,Female,0,fashion_accessories,1,0,0,0,0,0,72.84,7,25.494,535.374,2/15/2019,12:44,Cash,0,1,0,509.88,4.761904762,25.494,0.0
113,645-44-1170,A,Yangon,1,0,0,Member,1,Male,1,home_lifestyle,0,0,0,0,1,0,58.07,9,26.1315,548.7615,1/19/2019,20:07,Ewallet,1,0,0,522.63,4.761904762,26.1315,1.0
114,237-01-6122,C,Naypyitaw,0,1,0,Member,1,Female,0,home_lifestyle,0,0,0,0,1,0,80.79,9,36.3555,763.4655,2/1/2019,20:31,credit_card,0,0,1,727.11,4.761904762,36.3555,0.0
115,225-98-1496,C,Naypyitaw,0,1,0,Normal,0,Female,0,fashion_accessories,1,0,0,0,0,0,27.02,3,4.053,85.113,3/2/2019,13:01,credit_card,0,0,1,81.06,4.761904762,4.053,0.0
116,291-32-1427,B,Mandalay,0,0,1,Member,1,Male,1,fashion_accessories,1,0,0,0,0,0,21.94,5,5.485,115.185,3/5/2019,12:29,Ewallet,1,0,0,109.7,4.761904762,5.485,1.0
117,659-65-8956,B,Mandalay,0,0,1,Member,1,Male,1,fashion_accessories,1,0,0,0,0,0,51.36,1,2.568,53.928,1/16/2019,15:26,Ewallet,1,0,0,51.36,4.761904762,2.568,1.0
118,642-32-2990,A,Yangon,1,0,0,Normal,0,Female,0,food_bev,0,1,0,0,0,0,10.96,10,5.48,115.08,2/2/2019,20:48,Ewallet,1,0,0,109.6,4.761904762,5.48,1.0
119,378-24-2715,B,Mandalay,0,0,1,Normal,0,Male,1,home_lifestyle,0,0,0,0,1,0,53.44,2,5.344,112.224,1/20/2019,20:38,Ewallet,1,0,0,106.88,4.761904762,5.344,1.0
120,638-60-7125,A,Yangon,1,0,0,Normal,0,Female,0,electronic_accessories,0,0,1,0,0,0,99.56,8,39.824,836.304,2/14/2019,17:03,credit_card,0,0,1,796.48,4.761904762,39.824,1.0
121,659-36-1684,C,Naypyitaw,0,1,0,Member,1,Male,1,sports_travel,0,0,0,1,0,0,57.12,7,19.992,419.832,1/12/2019,12:02,credit_card,0,0,1,399.84,4.761904762,19.992,1.0
122,219-22-9386,B,Mandalay,0,0,1,Member,1,Male,1,sports_travel,0,0,0,1,0,0,99.96,9,44.982,944.622,3/9/2019,17:26,credit_card,0,0,1,899.64,4.761904762,44.982,1.0
123,336-78-2147,C,Naypyitaw,0,1,0,Member,1,Male,1,home_lifestyle,0,0,0,0,1,0,63.91,8,25.564,536.844,3/13/2019,19:52,credit_card,0,0,1,511.28,4.761904762,25.564,1.0
124,268-27-6179,B,Mandalay,0,0,1,Member,1,Female,0,fashion_accessories,1,0,0,0,0,0,56.47,8,22.588,474.348,3/9/2019,14:57,Ewallet,1,0,0,451.76,4.761904762,22.588,0.0
125,668-90-8900,A,Yangon,1,0,0,Normal,0,Female,0,home_lifestyle,0,0,0,0,1,0,93.69,7,32.7915,688.6215,3/10/2019,18:44,credit_card,0,0,1,655.83,4.761904762,32.7915,1.0
126,870-54-3162,A,Yangon,1,0,0,Normal,0,Female,0,sports_travel,0,0,0,1,0,0,32.25,5,8.0625,169.3125,1/27/2019,13:26,Cash,0,1,0,161.25,4.761904762,8.0625,0.0
